YEAR,MN,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31
2012,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,
2012,3,0.0,11.0,10.2,0.0,0.0,0.0,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.2,18.3,0.0,11.0,12.2,8.7,5.0,0.0,4.0,6.2,0.0,4.0,6.2,0.0,0.0,0.0,18.8,13.0,0.0,8.2,6.3,28.2,30.0,
2012,5,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,6.4,5.0,11.6,4.6,3.4,9.4,0.9,4.0,0.0,5.0,0.2,0.0,0.0,0.0,35.2,0.0,23.2,40.0,4.6
2012,6,0.0,0.0,12.3,45.3,0.0,16.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,9.2,4.2,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012,7,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,5.2,12.3,5.7,2.6,0.0,0.0,5.6,3.2,0.0,0.0,8.2,0.0
2012,8,0.0,12.7,0.0,32.6,6.2,0.0,0.0,0.0,0.0,2.6,31.4,7.6,0.0,0.0,2.2,3.1,6.7,0.0,38.1,12.1,0.0,0.0,0.0,0.0,0.0,62.1,73.6,12.1,0.0,14.7,0.0
2012,9,0.0,56.7,0.0,0.0,6.1,25.7,0.0,0.0,0.0,0.0,24.7,0.0,13.5,0.0,10.0,2.8,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,39.3,0.0,0.0,15.6,5.2,0.0,
2012,10,0.0,23.7,11.0,4.3,9.6,0.0,0.0,59.1,0.0,0.0,7.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
