YEAR,MN,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31
2012,1,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,
2012,3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,4,0.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0,7.5,7.0,8.0,3.0,70.0,0.0,0.0,95.0,13.5,5.0,55.5,25.0,2.5,2.0,0.0,90.2,56.5,70.1,21.3,48.0,42.4,80.5,
2012,5,20.2,5.0,5.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,5.6,0.0,0.0,3.6,0.0,0.0,0.0,30.2,25.6,8.6,8.5,0.0,5.2,62.5,0.0,70.5,50.2
2012,6,0.0,87.4,20.9,61.4,1.2,0.0,0.0,0.0,5.3,10.0,6.5,0.0,0.0,5.0,20.5,15.6,0.0,0.0,90.6,11.2,105.2,35.1,5.3,6.1,19.2,4.1,62.1,0.0,0.0,0.0,
2012,7,20.0,0.0,0.0,15.2,5.2,0.0,0.0,5.1,0.0,0.0,5.0,0.0,0.0,50.5,12.4,0.0,0.0,1.5,0.0,0.0,65.0,0.0,10.2,5.2,0.0,0.0,25.3,7.8,10.0,70.2,0.0
2012,8,0.0,1.3,0.0,0.0,0.0,8.3,10.0,15.6,0.0,19.8,11.7,2.5,3.4,0.0,50.1,0.0,0.0,0.0,3.7,65.5,0.0,0.0,0.0,0.0,0.0,50.2,0.0,2.0,39.5,20.5,10.0
2012,9,3.5,6.8,0.0,35.0,3.7,0.0,0.0,0.0,0.0,10.2,70.2,0.0,37.0,0.0,40.7,8.2,2.2,0.0,7.9,5.0,0.2,0.0,10.2,7.8,3.7,7.6,4.9,9.5,3.8,0.0,
2012,10,0.0,1.0,27.7,45.5,45.6,0.0,0.0,30.2,2.3,6.7,15.2,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
