YEAR,MN,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31
2012,1,0.0,0.0,0.0,1.0,5.0,2.0,4.5,2.0,23.0,30.0,0.0,0.0,15.0,0.0,0.0,23.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2012,3,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012,4,0.0,0.0,10.0,10.0,3.0,0.0,0.0,9.0,9.0,6.0,4.0,2.0,8.5,15.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,11.0,2.0,6.0,,,
2012,5,0.5,3.0,0.0,0.0,0.0,1.0,3.0,4.7,7.0,0.0,16.8,10.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,6,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,8.0,29.0,50.0,3.0,1.0,4.0,0.0,0.0,4.0,
2012,7,0.0,19.0,3.0,45.0,35.0,15.0,15.0,5.0,15.0,5.0,10.0,0.0,9.0,10.0,10.0,0.0,21.0,9.0,5.0,1.0,51.0,9.0,40.0,38.0,20.0,15.0,,,,,
2012,8,26.0,35.5,8.5,56.0,45.0,1.0,12.0,4.0,26.0,36.0,0.0,16.0,9.5,9.5,4.5,4.0,0.0,0.0,38.4,31.0,6.0,16.0,0.0,16.0,8.0,20.0,7.5,10.0,0.0,5.5,5.5
2012,9,30.0,28.0,6.0,22.0,14.0,10.0,5.0,0.0,15.0,26.0,17.0,38.0,27.0,23.0,27.0,50.0,6.0,25.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2012,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
2012,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2,2.0,2.0,10.0,15.0,25.0,42.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,,
2013,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,4,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
2013,5,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,13.0,4.0,2.0,0.0
2013,6,0.0,0.0,4.5,2.0,0.0,2.5,7.0,6.0,0.0,15.0,3.0,13.0,25.0,4.0,25.0,44.0,85.0,75.0,0.0,0.0,0.0,15.0,13.0,30.0,30.0,4.0,10.0,8.0,14.0,10.0,
2013,7,0.0,8.0,13.0,31.0,15.0,21.0,9.0,24.0,112.0,14.0,8.0,15.0,20.0,62.0,32.0,36.0,65.0,36.0,38.0,36.0,2.0,24.0,18.0,34.0,44.0,15.0,14.0,8.0,0.0,3.0,3.0
2013,8,7.0,11.0,13.0,24.0,22.0,15.0,6.0,15.0,32.0,18.0,46.0,3.0,59.0,6.0,35.0,3.0,20.0,4.0,12.0,27.0,3.0,12.0,2.0,9.0,13.0,9.0,18.0,15.0,2.0,6.0,27.0
2013,9,2.0,0.0,0.0,6.0,26.0,0.0,14.0,0.0,5.0,2.0,9.0,9.0,2.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,2.0,19.0,28.0,5.0,12.0,
2013,10,6.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0,3.5,6.5,11.5,24.0,0.0,0.0,3.5,2.0,0.0,2.5,10.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,10.0,,,
2014,3,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,3.0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,9.5,0.0,0.0,4.0,15.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
